fog_index,rainfall_mm,signal_status,congestion_level,time_of_day,train_type,actual_delay_min
0.774,10.91,0,0.7361,20,2,104
0.4389,33.15,2,0.0804,10,2,136
0.8586,38.34,0,0.2427,16,0,106
0.6974,8.33,2,0.8859,23,2,184
0.0942,2.19,1,0.5769,1,2,73
0.9756,21.98,0,0.0466,2,0,108
0.7611,38.7,1,0.7043,22,0,152
0.7861,32.54,0,0.5067,13,0,108
0.1281,35.09,2,0.8545,14,2,152
0.4504,20.14,0,0.6824,8,1,89
0.3708,11.75,1,0.0044,19,1,72
0.9268,26.59,0,0.2057,15,1,109
0.6439,10.22,1,0.258,6,1,105
0.8228,36.31,1,0.7022,15,1,155
0.4434,9.85,0,0.5093,0,0,68
0.2272,14.56,2,0.7474,5,1,136
0.5546,25.33,0,0.5129,4,0,87
0.0638,24.34,0,0.3274,18,2,38
0.8276,30.04,1,0.1037,17,0,118
0.6317,21.87,0,0.2026,2,0,77
0.7581,45.97,1,0.4008,21,1,140
0.3545,42.0,2,0.5515,19,1,156
0.9707,43.96,0,0.9386,10,1,150
0.8931,31.48,1,0.2397,5,2,125
0.7784,31.75,0,0.6661,10,2,117
0.1946,30.46,0,0.1525,14,1,50
0.4667,21.74,0,0.7138,15,2,95
0.0438,16.11,0,0.0113,8,1,22
0.1543,29.6,1,0.6559,2,0,84
0.683,1.28,2,0.1632,14,0,149
0.7448,0.37,2,0.1803,16,0,151
0.9675,42.58,0,0.5589,6,0,127
0.3258,2.32,2,0.3754,15,2,138
0.3705,26.24,1,0.4713,13,1,88
0.4696,30.75,1,0.3089,12,1,102
0.1895,9.91,2,0.9535,0,1,150
0.1299,44.79,1,0.2907,7,0,81
0.4757,9.5,0,0.542,8,2,69
0.2269,44.23,1,0.8544,20,0,112
0.6698,38.15,2,0.6642,19,1,189
0.4372,12.04,2,0.3228,20,2,142
0.8327,7.54,0,0.5524,11,2,96
0.7003,15.81,2,0.083,7,1,150
0.3124,19.9,0,0.5457,11,2,68
0.8323,12.29,2,0.4314,19,0,163
0.8048,49.94,0,0.7579,14,0,143
0.3875,11.48,0,0.8479,14,1,87
0.2883,41.53,2,0.1996,10,0,133
0.6825,7.96,1,0.0815,16,0,97
0.1398,49.01,0,0.3906,20,2,63
0.1999,11.28,0,0.5342,16,2,52
0.0074,21.08,0,0.3768,9,0,40
0.7869,27.93,0,0.6286,20,0,109
0.6649,6.01,2,0.5057,22,1,172
0.7052,40.84,0,0.9366,19,0,127
0.7807,13.73,0,0.4094,21,0,89
0.4589,27.46,2,0.0825,6,2,131
0.5687,27.48,2,0.3019,10,2,154
0.1398,30.13,0,0.6059,5,2,56
0.1145,2.77,1,0.256,8,0,60
0.6684,8.43,1,0.269,17,2,94
0.4711,8.06,1,0.3396,16,0,89
0.5652,15.1,0,0.7461,0,2,96
